Purchase Date;Ship Date;Returned;Return Date;Continent;Country;City;Store ID;Store Name;Store Type;Channel;Priority;Payment Method;Promotion ID;Promotion Name;Customer ID;Customer Segment;Loyalty Tier;Salesperson ID;Salesperson Department;Product ID;SKU;Product Name;Category;Subcategory;Brand;Order ID;Quantity;Unit Cost;Unit Price;Discount Amount;Tax Amount;Shipping Cost;Gross Sales;Net Sales;COGS;Gross Profit
2024-05-14;2024-08-28;;2024-06-05;;;;;;;;;;;;C00998;;;E0034;;P0112;SKU-100111;Local Household Standard;;;;O900029;;642;1667;14;221;;2272;2272;1624;648
2024-05-13;2024-10-02;;2024-08-18;;;;;;;;;;;;C00627;;;E0067;;P0045;SKU-100044;Local Kids Eco (L);;;;O900030;;44;1120;24;504;;73;66;60;6
2024-01-06;2024-06-14;;2024-06-11;;;;;;;;;;;;C00567;;;E0037;;P0008;SKU-100007;LG Appliances Eco;;;;O900031;;20;59;220;8;;3334;2767;2444;323
2024-03-15;2024-08-08;;2024-04-08;;;;;;;;;;;;C00168;;;E0012;;P0075;SKU-100074;Local Household Value;;;;O900032;;510;27;202;22;;3360;3360;1926;1434
2024-07-03;2024-10-18;;2024-02-01;;;;;;;;;;;;C01192;;;E0055;;P0036;SKU-100035;Samsung Phones Air;;;;O900033;;2;151;425;74;;118;104;88;16
2024-07-26;2024-10-19;;2024-08-01;;;;;;;;;;;;C00275;;;E0030;;P0060;SKU-100059;Belkin Accessories Max;;;;O900034;;1011;848;308;0;;111;94;63;31
2024-05-23;2024-06-25;;2024-06-03;;;;;;;;;;;;C00914;;;E0033;;P0167;SKU-100166;Tefal Kitchen Standard;;;;O900035;;1162;1122;126;227;;81;75;178;15
2024-09-02;2024-07-24;;2024-03-22;;;;;;;;;;;;C00129;;;E0019;;P0151;SKU-100150;Bosch Cleaning Standard;;;;O900036;;816;4;848;262;;302;278;1020;100
2024-01-29;2024-05-14;;2024-08-05;;;;;;;;;;;;C00664;;;E0005;;P0002;SKU-100001;Belkin Accessories Air;;;;O900037;;774;1634;403;67;;1696;1476;854;456
2024-08-29;2024-12-28;;2024-07-27;;;;;;;;;;;;C00160;;;E0045;;P0031;SKU-100030;Lenovo Laptops Plus;;;;O900038;;28;2056;181;216;;1122;920;2;66
2024-11-01;2024-09-08;;2024-09-17;;;;;;;;;;;;C01028;;;E0010;;P0147;SKU-100146;Google Phones Max;;;;O900039;;1558;968;1169;610;;4;4;2022;821
2024-03-17;2024-01-09;;2024-12-29;;;;;;;;;;;;C00472;;;E0062;;P0164;SKU-100163;Local Women Standard (S);;;;O900040;;1497;1348;1;295;;3268;2843;1162;586
2024-01-01;2024-11-26;;2025-01-01;;;;;;;;;;;;C00330;;;E0023;;P0047;SKU-100046;Asus Laptops Plus;;;;O900041;;721;35;9;136;;2056;1748;816;26
2024-07-14;2024-05-27;;2024-05-28;;;;;;;;;;;;C00039;;;E0027;;P0028;SKU-100027;Local Women Standard (L);;;;O900042;;487;2119;41;166;;968;842;1548;1148
2024-10-05;2024-02-23;;2024-04-22;;;;;;;;;;;;C01047;;;E0070;;P0129;SKU-100128;Local Beverages Standard;;;;O900043;;1160;2370;99;530;;2696;2696;28;3
2024-07-04;2024-05-05;;2024-09-02;;;;;;;;;;;;C00034;;;E0069;;P0179;SKU-100178;Samsung Appliances Standard;;;;O900044;;1018;908;131;430;;35;31;6232;1396
2024-04-14;2024-03-24;;2024-12-07;;;;;;;;;;;;C00241;;;E0024;;P0066;SKU-100065;Lenovo Laptops Air;;;;O900045;;129;645;158;70;;8476;7628;1497;470
2024-07-22;2024-01-15;;2024-06-06;;;;;;;;;;;;C01086;;;E0068;;P0134;SKU-100133;Russell Hobbs Kitchen Eco;;;;O900046;;1239;1948;8;3;;2370;1967;721;187
2024-12-22;2024-04-08;;2024-07-19;;;;;;;;;;;;C00978;;;E0039;;P0109;SKU-100108;Lenovo Laptops Basic;;;;O900047;;980;1343;219;161;;908;908;974;135
2024-03-30;2024-07-08;;2024-03-31;;;;;;;;;;;;C00015;;;E0025;;P0143;SKU-100142;Apple Phones Air;;;;O900048;;30;155;381;257;;1290;1109;4640;1983
2024-11-10;2024-09-23;;2024-04-23;;;;;;;;;;;;C01157;;;E0051;;P0026;SKU-100025;Tefal Kitchen Premium;;;;O900049;;7;1452;43;111;;7792;6623;4072;1300
2024-01-08;2024-10-08;;2024-03-25;;;;;;;;;;;;C00991;;;E0022;;P0103;SKU-100102;Apple Phones Plus;;;;O900050;;1294;86;176;84;;5372;5372;387;78
2024-04-09;2024-09-24;;2024-05-25;;;;;;;;;;;;C00440;;;E0064;;P0074;SKU-100073;Bosch Cleaning Eco;;;;O900051;;1036;26;146;108;;465;465;21;1
2024-08-22;2024-01-24;;2024-01-29;;;;;;;;;;;;C00187;;;E0063;;P0071;SKU-100070;Local Men Eco (S);;;;O900052;;95;1025;16;419;;2904;3;2478;698
2024-10-01;2024-04-27;;2024-05-16;;;;;;;;;;;;C01068;;;E0050;;P0150;SKU-100149;Samsung Tablets Pro;;;;O900053;;1562;1655;1948;9;;86;2904;980;17
2024-05-17;2024-02-05;;2024-07-31;;;;;;;;;;;;C00399;;;E0011;;P0097;SKU-100096;Anker Accessories Basic;;;;O900054;;1827;1213;291;168;;26;77;30;301
2024-07-01;2024-08-12;;2024-01-21;;;;;;;;;;;;C00819;;;E0056;;P0020;SKU-100019;Samsung Phones Pro;;;;O900055;;931;11;57;162;;2050;22;1294;733
2024-06-10;2024-03-19;;2024-04-24;;;;;;;;;;;;C00713;;;E0035;;P0062;SKU-100061;Local Beverages Value;;;;O900056;;227;1564;293;105;;3310;2009;2072;249
2024-08-04;2024-02-07;;2024-05-18;;;;;;;;;;;;C01145;;;E0031;;P0158;SKU-100157;Samsung Phones Basic;;;;O900057;;80;1587;86;15;;1213;29;95;75
2024-04-17;2024-12-18;;2024-03-23;;;;;;;;;;;;C01154;;;E0040;;P0072;SKU-100071;Anker Accessories Pro;;;;O900058;;1692;128;263;623;;37;3211;1562;7
2024-07-06;2024-10-10;;2024-05-30;;;;;;;;;;;;C00452;;;E0038;;P0118;SKU-100117;Philips Cleaning Premium;;;;O900059;;813;2138;23;156;;44;741;1827;8
2024-12-17;2024-02-09;;2024-11-24;;;;;;;;;;;;C01136;;;E0016;;P0067;SKU-100066;Apple Tablets Pro;;;;O900060;;1852;2201;53;34;;1564;1055;931;51
2024-01-05;2024-11-28;;2025-01-03;;;;;;;;;;;;C00544;;;E0044;;P0094;SKU-100093;Acer Laptops Max;;;;O900061;;402;1462;918;211;;3174;37;227;721
2024-10-17;2024-02-16;;2024-03-04;;;;;;;;;;;;C00014;;;E0061;;P0111;SKU-100110;Logitech Accessories Plus;;;;O900062;;27;285;123;39;;128;36;160;533
2024-10-12;2024-07-22;;2024-10-19;;;;;;;;;;;;C00815;;;E0065;;P0133;SKU-100132;Belkin Accessories Pro;;;;O900063;;1931;99;284;679;;2138;1345;14;198
2024-06-21;2024-08-24;;2024-08-26;;;;;;;;;;;;C00247;;;E0048;;P0122;SKU-100121;Local Kids Value (S);;;;O900064;;502;2241;167;38;;2201;2793;7936;385
2024-07-21;2024-04-03;;2024-08-09;;;;;;;;;;;;C00384;;;E0017;;P0051;SKU-100050;Local Snacks Value;;;;O900065;;72;1463;128;19;;1462;118;1692;-144
2024-05-08;2024-05-03;;2024-09-14;;;;;;;;;;;;C00821;;;E0057;;P0106;SKU-100105;Local Kids Eco (S);;;;O900066;;995;2189;190;294;;285;2095;1626;258
2024-02-12;2024-04-17;;2024-07-13;;;;;;;;;;;;C00781;;;E0015;;P0100;SKU-100099;Samsung Tablets Basic;;;;O900067;;927;528;40;186;;198;2025;454;1007
2024-03-08;2024-01-20;;2024-06-21;;;;;;;;;;;;C01094;;;E0008;;P0145;SKU-100144;Samsung Tablets Plus;;;;O900068;;571;2296;402;27;;22;1316;7408;30
2024-12-23;2024-02-18;;2024-12-23;;;;;;;;;;;;C00198;;;E0003;;P0123;SKU-100122;Bosch Cleaning Premium;;;;O900069;;1661;818;76;811;;9740;276;402;1085
2024-09-03;2024-11-23;;2024-06-23;;;;;;;;;;;;C01182;;;;;P0042;SKU-100041;Acer Laptops Air;;;;O900070;;902;93;1026;332;;2241;182;3862;10
2024-03-10;2024-06-12;;2024-12-05;;;;;;;;;;;;C00587;;;;;P0069;SKU-100068;Local Household Premium;;;;O900071;;1261;1422;490;172;;2926;21;1506;73
2024-01-04;2024-03-31;;2024-06-14;;;;;;;;;;;;C00643;;;;;P0005;SKU-100004;Google Phones Basic;;;;O900072;;373;1191;59;11;;570;7792;3980;19
2024-09-21;2024-09-10;;2024-07-04;;;;;;;;;;;;C00343;;;;;P0004;SKU-100003;Samsung Appliances Value;;;;O900073;;91;948;659;182;;8756;1950;1854;-188
2024-11-22;2024-09-25;;2024-12-25;;;;;;;;;;;;C01124;;;;;P0015;SKU-100014;Samsung Appliances Premium;;;;O900074;;1532;2008;280;81;;528;228;1142;825
2024-05-24;2024-10-29;;2024-11-12;;;;;;;;;;;;C00634;;;;;P0099;SKU-100098;Local Men Value (L);;;;O900075;;5;1441;36;602;;148;2633;1661;38
2024-07-09;2024-10-23;;2024-10-04;;;;;;;;;;;;C00957;;;;;P0084;SKU-100083;Anker Accessories Air;;;;O900076;;18;1960;458;359;;4592;484;112;1424
2024-02-18;2024-04-04;;2024-02-28;;;;;;;;;;;;C00891;;;;;P0064;SKU-100063;Google Phones Pro;;;;O900077;;1055;622;1244;152;;2454;8493;1850;361
2024-05-04;2024-02-10;;2024-10-09;;;;;;;;;;;;C00319;;;;;P0169;SKU-100168;Acer Laptops Plus;;;;O900078;;69;149;11;925;;186;105;6248;82
2024-06-26;2024-05-31;;2024-11-18;;;;;;;;;;;;C00614;;;;;P0029;SKU-100028;Lenovo Laptops Pro;;;;O900079;;1974;2221;1084;561;;5688;475;1804;564
2024-01-10;2024-12-06;;2024-04-05;;;;;;;;;;;;C00799;;;;;P0136;SKU-100135;Philips Cleaning Standard;;;;O900080;;560;8;3;127;;2382;127;1261;307
2024-03-19;2024-12-22;;2024-02-08;;;;;;;;;;;;C00846;;;;;P0135;SKU-100134;Logitech Accessories Basic;;;;O900081;;1226;33;487;62;;1896;3674;3486;21
2024-04-01;2024-05-26;;2024-08-23;;;;;;;;;;;;C00312;;;;;P0096;SKU-100095;Local Men Value (S);;;;O900082;;707;68;496;336;;2008;2331;1119;430
2024-07-31;2024-09-07;;2024-09-22;;;;;;;;;;;;C01011;;;;;P0006;SKU-100005;Local Women Premium (M);;;;O900083;;15;1772;5;611;;140;5404;273;285
2024-09-22;2024-12-08;;2024-11-20;;;;;;;;;;;;C00546;;;;;P0025;SKU-100024;Samsung Appliances Eco;;;;O900084;;654;2499;100;1;;2682;2215;6128;1278
2024-11-03;2024-02-28;;2024-03-10;;;;;;;;;;;;C00087;;;;;P0013;SKU-100012;Samsung Tablets Max;;;;O900085;;12;825;421;395;;8552;1150;54;588
2024-10-06;2024-08-01;;2024-12-27;;;;;;;;;;;;C00031;;;;;P0102;SKU-100101;Anker Accessories Plus;;;;O900086;;1293;23;429;527;;2882;1706;5;640
2024-01-20;2024-07-25;;2024-10-02;;;;;;;;;;;;C00323;;;;;P0023;SKU-100022;Russell Hobbs Kitchen Standard;;;;O900087;;9;2212;664;20;;1960;1968;4983;2682
2024-04-21;2024-06-08;;2024-04-06;;;;;;;;;;;;C00258;;;;;P0063;SKU-100062;Apple Phones Pro;;;;O900088;;1522;994;477;735;;6168;133;18;117
2024-10-16;2024-01-10;;2024-04-17;;;;;;;;;;;;C00514;;;;;P0073;SKU-100072;Dell Laptops Max;;;;O900089;;1270;985;89;308;;1866;2280;1984;467
2024-08-09;2024-10-25;;2024-11-07;;;;;;;;;;;;C00960;;;;;P0091;SKU-100090;Philips Cleaning Value;;;;O900090;;50;21;355;309;;447;1016;4220;138
2024-10-31;2024-01-29;;2024-04-14;;;;;;;;;;;;C00930;;;;;P0039;SKU-100038;LG Appliances Value;;;;O900091;;1148;1747;314;564;;8884;7526;207;690
2024-08-18;2024-11-01;;2024-02-09;;;;;;;;;;;;C01104;;;;;P0155;SKU-100154;Acer Laptops Pro;;;;O900092;;655;12;470;280;;71;2392;7;1512
2024-03-13;2024-04-10;;2024-12-09;;;;;;;;;;;;C00796;;;;;P0157;SKU-100156;Lenovo Tablets Max;;;;O900093;;1538;2184;109;322;;8;1901;3948;-43
2024-07-17;2024-04-02;;2024-09-27;;;;;;;;;;;;C01007;;;;;P0172;SKU-100171;Dyson Cleaning Value;;;;O900094;;575;1986;15;348;;6024;6168;1680;12
2024-07-20;2024-05-08;;2024-05-24;;;;;;;;;;;;C00084;;;;;P0104;SKU-100103;Bosch Appliances Eco;;;;O900095;;1638;74;370;242;;33;3737;2472;-36
2024-02-01;2024-02-03;;2024-11-19;;;;;;;;;;;;C00510;;;;;P0011;SKU-100010;Apple Tablets Air;;;;O900096;;3;1352;20;115;;2435;1586;2452;5
2024-12-13;2024-12-27;;2024-11-27;;;;;;;;;;;;C01127;;;;;P0065;SKU-100064;Local Kids Premium (M);;;;O900097;;17;864;77;276;;68;411;2828;2372
2024-10-04;2024-01-19;;2024-08-10;;;;;;;;;;;;C00845;;;;;P0108;SKU-100107;Asus Laptops Pro;;;;O900098;;79;2340;811;311;;7088;2238;2775;46
2024-02-04;2024-08-19;;2024-02-15;;;;;;;;;;;;C00814;;;;;P0154;SKU-100153;;;;;O900099;;470;744;173;657;;258;7640;15;950
2024-02-10;2024-07-02;;2025-01-15;;;;;;;;;;;;C00566;;;;;P0171;SKU-100170;;;;;O900100;;82;2082;73;135;;11;60;3064;374
2024-01-17;2024-03-29;;2024-05-05;;;;;;;;;;;;C00478;;;;;P0050;SKU-100049;;;;;O900101;;458;5;268;14;;4998;7;1308;1392
2024-11-11;2024-02-19;;2024-04-29;;;;;;;;;;;;C00616;;;;;P0090;SKU-100089;;;;;O900102;;496;126;999;35;;2475;4940;24;1308
2024-10-19;2024-08-17;;2025-01-05;;;;;;;;;;;;C00024;;;;;P0061;SKU-100060;;;;;O900103;;1749;823;13;368;;4293;30;1293;671
2024-06-20;2024-11-19;;2024-08-22;;;;;;;;;;;;C00805;;;;;P0130;SKU-100129;;;;;O900104;;524;7;331;55;;46;1948;2522;1248
2024-04-02;2024-10-26;;2024-04-19;;;;;;;;;;;;C01123;;;;;P0120;SKU-100119;;;;;O900105;;607;134;1050;21;;4424;59;9;9
2024-05-01;2024-01-21;;2024-08-03;;;;;;;;;;;;C01171;;;;;P0139;SKU-100138;;;;;O900106;;1063;544;174;85;;3976;6592;1522;1289
2024-04-16;2024-12-16;;2024-08-07;;;;;;;;;;;;C00231;;;;;P0153;SKU-100152;;;;;O900107;;131;597;253;389;;4023;253;3108;140
2024-01-19;2024-09-21;;2024-02-17;;;;;;;;;;;;C00906;;;;;P0146;SKU-100145;;;;;O900108;;1064;2303;273;749;;59;10;1270;928
2024-06-17;2024-09-16;;2024-10-05;;;;;;;;;;;;C00303;;;;;P0019;SKU-100018;;;;;O900109;;68;638;48;208;;28;4898;50;553
2024-02-14;2024-10-05;;2024-03-03;;;;;;;;;;;;C00418;;;;;P0119;SKU-100118;;;;;O900110;;113;1849;177;157;;4442;2054;22;1272
2024-11-19;2024-07-21;;2024-05-17;;;;;;;;;;;;C00412;;;;;P0170;SKU-100169;;;;;O900111;;291;38;397;1099;;1970;3864;380;676
2024-06-18;2024-06-05;;2024-06-19;;;;;;;;;;;;C00792;;;;;P0128;SKU-100127;;;;;O900112;;766;182;262;123;;42;44;4592;524
2024-06-06;2024-08-15;;2024-07-15;;;;;;;;;;;;C00045;;;;;P0033;SKU-100032;;;;;O900113;;84;1675;461;150;;1747;3760;655;55
2024-09-04;2024-01-12;;2024-10-21;;;;;;;;;;;;C00620;;;;;P0173;SKU-100172;;;;;O900114;;791;14;87;26;;3920;3499;487;36
2024-09-24;2024-05-29;;2024-02-06;;;;;;;;;;;;C00700;;;;;P0126;SKU-100125;;;;;O900115;;1150;109;277;263;;12;4023;3717;35
2024-10-22;2024-10-13;;2024-12-24;;;;;;;;;;;;C00675;;;;;P0148;SKU-100147;;;;;O900116;;1037;410;143;383;;2184;53;6152;81
2024-03-21;2024-05-13;;2024-01-20;;;;;;;;;;;;C00881;;;;;P0032;SKU-100031;;;;;O900117;;10;1187;169;433;;4761;23;16;1149
2024-12-09;2024-09-12;;2024-09-25;;;;;;;;;;;;C00653;;;;;P0113;SKU-100112;;;;;O900118;;1026;133;134;12;;1986;4353;1725;3208
2024-08-21;2024-11-20;;2024-04-01;;;;;;;;;;;;C00547;;;;;P0079;SKU-100078;;;;;O900119;;1170;1366;31;175;;112;1615;20;458
2024-06-15;2024-03-12;;2024-01-26;;;;;;;;;;;;C00377;;;;;P0140;SKU-100139;;;;;O900120;;1255;1447;221;300;;512;40;40;239
2024-10-21;2024-03-28;;2024-11-10;;;;;;;;;;;;C00416;;;;;P0044;SKU-100043;;;;;O900121;;1677;1494;168;24;;5408;1433;6552;777
2024-03-29;2024-04-20;;2024-12-18;;;;;;;;;;;;C00086;;;;;P0125;SKU-100124;;;;;O900122;;423;17;33;194;;864;79;6;53
2024-02-05;2024-05-10;;2024-06-01;;;;;;;;;;;;C00504;;;;;P0037;SKU-100036;;;;;O900123;;834;1435;71;694;;645;3450;190;166
2024-11-21;2024-05-12;;2024-12-31;;;;;;;;;;;;C00945;;;;;P0014;SKU-100013;;;;;O900124;;1394;1721;699;269;;4965;25;34;11
2024-06-11;2024-03-05;;2024-08-04;;;;;;;;;;;;C00369;;;;;P0041;SKU-100040;;;;;O900125;;821;1344;106;187;;9360;2075;1803;74
2024-05-30;2024-04-23;;2024-02-03;;;;;;;;;;;;C00328;;;;;P0052;SKU-100051;;;;;O900126;;620;2147;196;82;;21;4380;237;84
2024-12-02;2024-12-15;;2024-11-08;;;;;;;;;;;;C00631;;;;;P0057;SKU-100056;;;;;O900127;;215;2302;665;331;;2232;1946;1880;1412
2024-06-30;2024-05-22;;2024-08-02;;;;;;;;;;;;C01020;;;;;P0024;SKU-100023;;;;;O900128;;540;506;264;536;;66;1686;4412;34
2024-01-18;2024-02-04;;2024-12-03;;;;;;;;;;;;C01184;;;;;P0089;SKU-100088;;;;;O900129;;671;1875;292;222;;8328;92;138;1627
2024-01-27;2024-09-11;;2024-07-23;;;;;;;;;;;;C01152;;;;;P0121;SKU-100120;;;;;O900130;;107;1011;94;48;;10;435;3783;56
2024-09-05;2024-08-27;;2025-01-02;;;;;;;;;;;;C00133;;;;;P0176;SKU-100175;;;;;O900131;;815;745;857;44;;256;4597;96;242
2024-12-04;2024-11-10;;2024-06-25;;;;;;;;;;;;C00120;;;;;P0053;SKU-100052;;;;;O900132;;639;271;242;133;;2208;691;925;535
2024-09-29;2024-02-17;;2024-08-24;;;;;;;;;;;;C01077;;;;;P0040;SKU-100039;;;;;O900133;;104;857;298;126;;378;262;1160;375
2024-12-01;2024-06-15;;2024-03-01;;;;;;;;;;;;C00004;;;;;P0174;SKU-100173;;;;;O900134;;1464;984;297;143;;3292;568;276;20
2024-10-07;2024-04-12;;2024-10-20;;;;;;;;;;;;C01148;;;;;P0088;SKU-100087;;;;;O900135;;63;148;338;99;;5836;4866;82;216
2024-01-13;2024-08-29;;2024-11-05;;;;;;;;;;;;C00683;;;;;P0152;SKU-100151;;;;;O900136;;1449;1212;193;231;;172;9360;4904;45
2024-11-27;2024-09-26;;2024-07-05;;;;;;;;;;;;C00073;;;;;P0070;SKU-100069;;;;;O900137;;1283;953;205;28;;5880;18;1638;3767
2024-08-06;2024-07-29;;2024-11-04;;;;;;;;;;;;C01095;;;;;P0163;SKU-100162;;;;;O900138;;833;36;1524;351;;160;1389;746;153
2024-12-06;2024-09-19;;2024-12-08;;;;;;;;;;;;C00762;;;;;P0180;SKU-100179;;;;;O900139;;167;170;102;159;;1341;1964;458;42
2024-07-25;2024-06-21;;2024-11-16;;;;;;;;;;;;C00052;;;;;P0114;SKU-100113;;;;;O900140;;1092;1966;217;185;;1948;7329;2430;498
2024-07-24;2024-08-31;;2024-07-08;;;;;;;;;;;;C00272;;;;;P0165;SKU-100164;;;;;O900141;;794;100;195;30;;7;9;2540;86
2024-06-02;2024-07-12;;2024-08-20;;;;;;;;;;;;C00095;;;;;P0022;SKU-100021;;;;;O900142;;532;2086;432;184;;344;243;984;1706
2024-05-02;2024-12-11;;2024-10-03;;;;;;;;;;;;C01091;;;;;P0095;SKU-100094;;;;;O900143;;965;30;290;503;;84;821;496;1035
